up_mid,up_name,video_count,total_view,total_like,total_coin,total_interaction,avg_view,avg_like_rate,top10_count
311671229,JasonHuangMusic,1,2381340,175174,31156,286908,2381340.0,0.0736,0
421916120,无法翱翔の纸鹤,1,2379578,199869,51919,348744,2379578.0,0.084,0
30741290,红豆奶绿BLY,1,2377477,183089,38236,325694,2377477.0,0.077,0
1360095945,天天买瓜,1,2376178,188506,71551,336915,2376178.0,0.0793,0
354287317,麓七麓七,1,2372840,213695,253001,605167,2372840.0,0.0901,1
3546762065218428,t七比㐂月的枫,1,2372813,125398,5533,156104,2372813.0,0.0528,0
403481804,怪兽之王一哥斯拉,1,2372424,535051,144644,760515,2372424.0,0.2255,1
249608727,杨可爱Ukulele,1,2372224,149262,133900,378452,2372224.0,0.0629,1
391884244,Easter2333,1,2370347,129633,44117,212040,2370347.0,0.0547,0
324213182,阿毛有点方,1,2369946,175856,62057,265343,2369946.0,0.0742,0
534964283,圈内师老师,1,2366499,39135,558,53437,2366499.0,0.0165,0
1490392494,auauko,1,2365475,349656,4070,402133,2365475.0,0.1478,0
2070952,狗子王Dogtor_Wang,1,2365081,214181,49784,346603,2365081.0,0.0906,0
350327547,十连来个大炮,1,2364789,252605,138703,452491,2364789.0,0.1068,0
589154644,我和沙漠有个约定,1,2362780,618669,213065,910687,2362780.0,0.2618,1
2071308091,荒野粗人,1,2360665,270713,14908,324457,2360665.0,0.1147,0
14958019,汪太宗,1,2359485,121730,95680,317296,2359485.0,0.0516,0
11527656,飞来MarsFly,1,2357927,198873,88982,402386,2357927.0,0.0843,0
7327911,德国陶渊明,1,2356601,67968,23861,101127,2356601.0,0.0288,0
613115943,比亚迪汽车,1,2355292,16683,1792,22939,2355292.0,0.0071,0
1656137140,姜乘澜,1,2353196,242760,55160,483808,2353196.0,0.1032,1
1581626,宅在家里什么都不会,1,2352115,139346,82723,269887,2352115.0,0.0592,0
67527408,胡基森,1,2351362,101638,13806,148213,2351362.0,0.0432,0
1120204924,傩时NUOVRA,1,2350967,92579,4838,122051,2350967.0,0.0394,0
1100229065,一嫩牛五方一,1,2348718,187057,2562,226273,2348718.0,0.0796,0
503400701,刘琥动画,1,2346670,298755,38749,417137,2346670.0,0.1273,0
1105429038,退役编辑雨上,1,2345299,212087,134004,490332,2345299.0,0.0904,0
21897453,油炸童年,1,2343410,132563,52197,222576,2343410.0,0.0566,0
3494362379979305,远光84,1,2343405,122977,10367,146958,2343405.0,0.0525,0
3493090606188642,鸣潮先行公约,1,2342810,71493,3860,89313,2342810.0,0.0305,0
692816807,乡间小凡,1,2341668,497770,78657,655852,2341668.0,0.2126,0
430359206,Helin和Eva,1,2340720,309672,192963,542092,2340720.0,0.1323,0
6927351,橙某,1,2339424,137853,10182,224939,2339424.0,0.0589,0
2281851,王喜九xijiu,1,2333397,201206,21811,277446,2333397.0,0.0862,0
17058442,翁家梁Richard,1,2332240,298604,77101,478961,2332240.0,0.128,0
3546787774204220,枕刀歌游戏,1,2332128,40192,18093,91201,2332128.0,0.0172,0
472055262,飞啡等待,1,2331563,215806,45723,319854,2331563.0,0.0926,1
99457168,俺妹妹就是这么可爱,1,2328809,225026,70417,382320,2328809.0,0.0966,0
235555226,哔哩哔哩UP主服务中心,1,2324660,158931,30028,220564,2324660.0,0.0684,0
429618480,白客,1,2321440,166372,6842,186559,2321440.0,0.0717,0
482469389,何解毒,1,2321393,158116,100681,370199,2321393.0,0.0681,0
1763562610,这个账号叫啥呢,1,2321005,157507,106753,337112,2321005.0,0.0679,0
480395060,赛尔计划,1,2315083,44141,18989,86354,2315083.0,0.0191,0
41030246,少女爱丽丝-,1,2313964,88320,47264,308515,2313964.0,0.0382,0
344945039,橘子海OrangeOcean,1,2312330,150378,34517,227328,2312330.0,0.065,0
101363350,夏弃疾下乡版,1,2309128,332067,10420,406402,2309128.0,0.1438,0
3546694172019007,中国青年Ma,1,2302977,91290,38011,203040,2302977.0,0.0396,0
613355555,Wang木炎,1,2299548,58384,24963,212861,2299548.0,0.0254,0
3706944044927836,蓝大侠-遗传学家蓝田,1,2296604,166529,46912,298479,2296604.0,0.0725,0
85835398,夏波波Brian,1,2296331,85066,9582,116949,2296331.0,0.037,0
647208864,许嵩,1,2293331,107201,78193,257201,2293331.0,0.0467,0
339233162,X调查,1,2292762,67317,10243,106657,2292762.0,0.0294,0
4140446,灯影刘肉丝,1,2287715,37797,4473,62922,2287715.0,0.0165,0
1333374105,与尔鸽鸽,1,2287455,162303,5734,207647,2287455.0,0.071,0
3537123699329089,驯龙高手旅程,1,2286617,64912,5996,78465,2286617.0,0.0284,0
25048847,莫娜摸鱼专用,1,2286309,167508,13975,230234,2286309.0,0.0733,0
205631797,果壳,1,2285475,181461,2619,226485,2285475.0,0.0794,0
63486758,范李猿,1,2281091,80450,43926,340680,2281091.0,0.0353,0
3493270525053175,汐塔工作室,1,2280633,131424,52275,245382,2280633.0,0.0576,0
3632311203531669,FLC_NiKo,1,2280328,223096,170213,535910,2280328.0,0.0978,1
20713882,单依纯,1,2279260,70046,10795,111009,2279260.0,0.0307,0
